health,status,index,uuid,pri,rep,docs.count_x,docs.deleted_x,store.size,pri.store.size,deleted_to_count_ratio,shard,prirep,ip,segment,generation,docs.count_y,docs.deleted_y,size,size.memory,committed,searchable,version,compound,segments_count,TenantId,Tenant,Business,Technical,Marketplace,Total,mean_size,variance_size,95th_percentile_size,std_dev_size(mb)
green,open,devprod-gsk2r9sqhw5irzpotaxwq9-mkg_document_store-ccgf-contentv2,xVgYnJw5Qz2rl6_FN91BCA,1,1,121,0,0.26,0.13,0.0,0,r,x.x.x.x,_8z,323,121,0,0.13,18596,true,true,8.2.0,false,2.0,,,,,,,0.13,0.0,0.13,0.0
green,open,devprod-0qyvgg5w8ywgjmu914sc2k-mkg_document_store-ccgf-contentv2,mhHwpp_tTNqEV5ngDD4RgA,1,1,23,0,0.25,0.12,0.0,0,p,x.x.x.x,_2,2,19,0,0.03,11804,true,true,8.2.0,true,10.0,0qyvgg5w8ywgjmu914sc2k,MKG_IngestionTest,4,0,0,14,0.022,1.777777777777777e-05,0.03,0.004216370213557838
green,open,devprod-eriyjg1teodllpfounr122-mkg_document_store-ccgf-contentv2,n1f758t3TGSd3wDs8-qLhQ,1,1,33,1,0.23,0.09,3.03,0,p,x.x.x.x,_6n,239,1,0,0.02,10508,true,true,8.2.0,true,4.0,eriyjg1teodllpfounr122,MKG_Tenant_Isolation_AWS12_1,14,0,0,38,0.0575,0.0006916666666666668,0.0785,0.026299556396765837
green,open,devprod-5qfe1jjee3wddrf0bv4sma-mkg_document_store-ccgf-contentv2,TtMVVnOuRNSvRLz1aWywnA,1,1,15,5,0.19,0.14,33.33,0,p,x.x.x.x,_7m,274,10,5,0.07,17572,true,true,8.2.0,false,6.0,5qfe1jjee3wddrf0bv4sma,MKG_Tenant_Isolation_AWS5,14,0,0,28,0.03166666666666667,0.0005366666666666667,0.065,0.02316606713852541
green,open,devprod-1qjr2ih1vw3b8ckazaflgw-mkg_document_store-ccgf-contentv2,aDNGCiXhTpq9O8stSgPXyA,1,1,19,1,0.18,0.09,5.26,0,r,x.x.x.x,_0,0,13,1,0.04,11124,true,true,8.2.0,true,6.0,1qjr2ih1vw3b8ckazaflgw,JUNE_GA_BKP_TENANT_2,0,0,0,10,0.03,8.000000000000002e-05,0.04,0.00894427190999916
green,open,devprod-1npigrf8jgyldolzzzkpiw-mkg_document_store-ccgf-contentv2,4pzyY86GSYqzScFTjIgdIA,1,1,19,1,0.18,0.09,5.26,0,r,x.x.x.x,_0,0,2,0,0.02,9548,true,true,8.2.0,true,6.0,1npigrf8jgyldolzzzkpiw,Hawkdqmrel_QE1,0,0,0,10,0.02666666666666667,0.00010666666666666667,0.04,0.010327955589886445
green,open,devprod-7f6rwcoalugjchbculz2gv-mkg_document_store-ccgf-contentv2,omIh0oUvSHSdMRU1kBMqTg,1,1,23,0,0.17,0.08,0.0,0,r,x.x.x.x,_2,2,19,0,0.03,11804,true,true,8.2.0,true,6.0,7f6rwcoalugjchbculz2gv,25JulyIICS_PlatformDev,0,0,0,12,0.023333333333333334,2.6666666666666667e-05,0.03,0.0051639777949432225
green,open,devprod-a4j2mnigtubf6yhxx0qnin-mkg_document_store-ccgf-contentv2,cyt7-OVTQ0uZUnjQ0viqGg,1,1,36,0,0.17,0.08,0.0,0,p,x.x.x.x,_4,4,21,0,0.04,12588,true,true,8.2.0,true,6.0,a4j2mnigtubf6yhxx0qnin,DevProd_18July_Release_PLTF_01,0,0,0,26,0.02666666666666667,0.00010666666666666667,0.04,0.010327955589886445
green,open,devprod-je33z0eri81lr3goeaofmu-mkg_document_store-ccgf-contentv2,H_NvvFP_QmC4LRwh-p0c1A,1,1,7,0,0.16,0.08,0.0,0,r,x.x.x.x,_0,0,1,0,0.01,7612,true,true,8.2.0,true,14.0,,,,,,,0.01,0.0,0.01,0.0
green,open,devprod-adcvkaztzsidfhhi4hfow2-mkg_document_store-ccgf-contentv2,vkgSLR3VSBeCARUn3QgHmw,1,1,34,0,0.16,0.08,0.0,0,r,x.x.x.x,_2,2,19,0,0.03,11804,true,true,8.2.0,true,6.0,adcvkaztzsidfhhi4hfow2,platform_auth_do_not_delete_automation,15,0,0,25,0.023333333333333334,2.6666666666666667e-05,0.03,0.0051639777949432225
