TenantId,Objects,Relationship
MKG_Tenant_Isolation_AWS3,28,10
MKG_Tenant_Isolation_AWS4,28,9
MKG_Tenant_Isolation_AWS5,18,1
MKG_Tenant_Isolation_AWS6,28,9
MKG_Tenant_Isolation_AWS7_1,28,10
MKG_Tenant_Isolation_AWS9,28,10
PODKillTest,"25,17,487","11,55,335"
PlatformQE_05,10,9
PlatformQE_1693215129647,10,9
PlatformQE_23Aug01,11,9
PlatformQE_Aug_Rel_01,10,9
PlatformQE_Aug_Rel_02,10,9
PlatformQE_Aug_Rel_03,10,9
PlatformQE_Aug_Rel_04,10,9
PlatformQE_Aug_Rel_05,10,9
PlatformQe_API_Metering_Test1,12,9
PlatformQe_API_Metering_Test2,10,9
PlatformQe_API_Metering_Test3,11,9
PlatformQe_API_Metering_Test4,25,9
PlatformQe_API_Metering_Test5,123,9
PlatformQe_VS_Fix_Tenant,10,9
Platform_CD_Tenant_DND,10,9
Presales_Athena_Org,"3,53,847","3,75,162"
Presales_July,10,9
Prof_CD_tenant,"14,471","14,608"
ProfilingQE_08July2023,10,9
Profiling_JulyTenant,"1,006","1,089"
Profiling_June_To_July,"79,825","99,743"
Profiling_QE_06July23,"3,70,105","4,76,915"
PublicAPI_MKG_QE_2704,"2,99,543","2,12,721"
Public_API_July_SearchQE,"1,040","2,438"
Public_API_July_SearchQE1,"2,99,540","2,12,703"
QE_Preview_MKG,"3,335","3,913"
RTC_TENANT_DND,"3,60,257","3,50,280"
RevSyncTest02,"6,06,352","6,06,445"
SCPScannerQEJune,"25,612","28,459"
SCP_Tenant2,"5,02,645","5,07,146"
SECURITY_DEVPROD_02JUNE,"11,801","16,709"
SK_IMS_SERVICE_2705,47,63
SK_JUNE_RELEASE,"8,565","12,380"
SK_July_0607_Regrssion,"1,181",705
SK_PCS_TEST_0504,"1,37,370","1,72,478"
ScannerQEJuly,"14,88,899","6,06,128"
ScannerQEJuly-0_suborg,70,58
ScannerQE_Longivity,"14,39,13,144","17,14,39,538"
ScannerServiceCD,"47,222","68,267"
Scanner_QE_04sept_01,"28,866","42,916"
SearchV2_CD_Apr2023_3,"1,008","2,266"
Search_June2023_CD,0,0
Test,"1,040","2,438"
Virat Kohli,10,9
ajvishwa_0821,"1,258",9
ajvishwa_0822,"4,633",9
bulk_ingestion_QE,"1,02,952","1,02,392"
cd_cdgc_003,0,0
cdgc_ui_02222023_01,"82,848","1,54,691"
cdgc_ui_0709_01,"13,204","38,868"
cdgc_ui_0709_01_so1,"11,096","36,086"
